Epoch 66: Avg Critic Loss = 8010.788716634114, Avg Actor Loss = 0.32641624845564365, Avg Reward = 89.1940223454305, Theta = 1.0
Epoch 67: Avg Critic Loss = 5243.750223795573, Avg Actor Loss = 0.32666812650859356, Avg Reward = 72.35720942872997, Theta = 1.0
Epoch 68: Avg Critic Loss = 5418.150492350261, Avg Actor Loss = 0.3263229262083769, Avg Reward = 73.52462797590739, Theta = 1.0
Epoch 69: Avg Critic Loss = 7312.468587239583, Avg Actor Loss = 0.3264212391028802, Avg Reward = 85.27005255842091, Theta = 1.0
Epoch 70: Avg Critic Loss = 6708.558705647786, Avg Actor Loss = 0.3262415640056133, Avg Reward = 80.83068654143483, Theta = 1.0
Epoch 71: Avg Critic Loss = 1972.4389222462971, Avg Actor Loss = 0.32528340071439743, Avg Reward = 41.81309494770591, Theta = 1.0
Epoch 72: Avg Critic Loss = 290.7488663991292, Avg Actor Loss = 0.3266510795801878, Avg Reward = 16.408962560253357, Theta = 1.0
Epoch 73: Avg Critic Loss = 574.853167851766, Avg Actor Loss = 0.3266131567458312, Avg Reward = 23.036323334099308, Theta = 1.0
Epoch 74: Avg Critic Loss = 974.3292083740234, Avg Actor Loss = 0.32666691578924656, Avg Reward = 30.847542405297123, Theta = 1.0
Epoch 75: Avg Critic Loss = 427.6862227121989, Avg Actor Loss = 0.3262891409297784, Avg Reward = 20.392051015793815, Theta = 1.0
Epoch 76: Avg Critic Loss = 167.17737560222545, Avg Actor Loss = 0.3262331597507, Avg Reward = -2.552344766074087, Theta = 1.0
Epoch 77: Avg Critic Loss = 466.4375966117562, Avg Actor Loss = 0.32576601207256317, Avg Reward = -18.518483190368926, Theta = 1.0
Epoch 78: Avg Critic Loss = 198.4676062837243, Avg Actor Loss = 0.32566797112425167, Avg Reward = 12.547173260544268, Theta = 1.0
Epoch 79: Avg Critic Loss = 219.461828969419, Avg Actor Loss = 0.3266078531742096, Avg Reward = -12.13040602105565, Theta = 1.0
Epoch 80: Avg Critic Loss = 231.67559957504272, Avg Actor Loss = 0.32561074383556843, Avg Reward = -13.453629296245097, Theta = 1.0
Epoch 81: Avg Critic Loss = 309.52332897135057, Avg Actor Loss = 0.32617533889909583, Avg Reward = -11.975941839339661, Theta = 1.0
Epoch 82: Avg Critic Loss = 31.144235412279766, Avg Actor Loss = 0.3265401553362608, Avg Reward = 4.7941865112212385, Theta = 1.0
Epoch 83: Avg Critic Loss = 916.1881024042765, Avg Actor Loss = 0.3260741426299016, Avg Reward = 25.653173824911274, Theta = 1.0
Epoch 84: Avg Critic Loss = 1379.7018523216248, Avg Actor Loss = 0.32624200110634166, Avg Reward = 34.4793006379449, Theta = 1.0
Epoch 85: Avg Critic Loss = 245.1610607888239, Avg Actor Loss = 0.3255653598656257, Avg Reward = -10.522904406976727, Theta = 1.0
Epoch 86: Avg Critic Loss = 309.747953876853, Avg Actor Loss = 0.3266933827350537, Avg Reward = -16.00265657504462, Theta = 1.0
Epoch 87: Avg Critic Loss = 48.86238105098406, Avg Actor Loss = 0.3266421413669984, Avg Reward = 5.855461387921413, Theta = 1.0
Epoch 88: Avg Critic Loss = 120.53604123741388, Avg Actor Loss = 0.32596881998082, Avg Reward = -2.100393870619563, Theta = 1.0
Epoch 89: Avg Critic Loss = 216.98485997039825, Avg Actor Loss = 0.3269424643367529, Avg Reward = 2.158268812830675, Theta = 1.0
Epoch 90: Avg Critic Loss = 176.98470947278352, Avg Actor Loss = 0.32613890804350376, Avg Reward = 4.200371879263439, Theta = 1.0
Epoch 91: Avg Critic Loss = 563.1281458536783, Avg Actor Loss = 0.32581496114532155, Avg Reward = -23.50909687085172, Theta = 1.0
Epoch 92: Avg Critic Loss = 289.2670345039417, Avg Actor Loss = 0.32598606248696643, Avg Reward = -12.074457988479312, Theta = 1.0
Epoch 93: Avg Critic Loss = 100.19784122953813, Avg Actor Loss = 0.3255270253866911, Avg Reward = 8.788389032586666, Theta = 1.0
Epoch 94: Avg Critic Loss = 135.82465281244367, Avg Actor Loss = 0.32540205617745716, Avg Reward = -5.637892534725714, Theta = 1.0
Epoch 95: Avg Critic Loss = 786.8386077880859, Avg Actor Loss = 0.3255101169149081, Avg Reward = -28.035480199542203, Theta = 1.0
Epoch 96: Avg Critic Loss = 381.6943234329422, Avg Actor Loss = 0.3258712428311507, Avg Reward = -13.806921999986011, Theta = 1.0
Epoch 97: Avg Critic Loss = 456.60581445073086, Avg Actor Loss = 0.32502230691413087, Avg Reward = -10.12788972277812, Theta = 1.0
Epoch 98: Avg Critic Loss = 2374.65358988444, Avg Actor Loss = 0.32501535055538017, Avg Reward = -48.679164480229495, Theta = 1.0
Epoch 99: Avg Critic Loss = 1441.2399134409304, Avg Actor Loss = 0.3263894741733869, Avg Reward = -25.822496867385016, Theta = 1.0
